"Data","Estrangeiro","Institucional","Pessoa física","Inst. Financeira","Outros"
"09/10/2025","-856,47 mi","628,49 mi","235,96 mi","-33,15 mi","25,18 mi"
"08/10/2025","-1.184,48 mi","906,58 mi","118,56 mi","117,10 mi","42,25 mi"
"07/10/2025","-1.038,56 mi","370,59 mi","584,68 mi","26,94 mi","56,35 mi"
"06/10/2025","-618,16 mi","333,61 mi","227,92 mi","14,86 mi","41,77 mi"
"03/10/2025","-355,62 mi","103,06 mi","79,63 mi","156,66 mi","16,27 mi"
"02/10/2025","-670,98 mi","133,40 mi","454,15 mi","38,38 mi","45,06 mi"
"01/10/2025","-244,96 mi","-17,08 mi","98,08 mi","95,59 mi","68,37 mi"
"30/09/2025","162,46 mi","-302,76 mi","90,62 mi","-38,96 mi","88,64 mi"
"29/09/2025","314,74 mi","-222,25 mi","82,04 mi","-171,81 mi","-2,72 mi"
"26/09/2025","8,35 mi","-255,56 mi","170,27 mi","55,26 mi","21,69 mi"
"25/09/2025","408,96 mi","-868,03 mi","395,67 mi","-44,04 mi","107,44 mi"
"24/09/2025","551,58 mi","-706,73 mi","82,82 mi","33,21 mi","39,12 mi"
"23/09/2025","1.138,00 mi","-61,22 mi","-83,12 mi","-972,41 mi","-21,25 mi"
"22/09/2025","801,55 mi","-812,49 mi","344,09 mi","-316,42 mi","-16,74 mi"
"19/09/2025","-35,59 mi","579,72 mi","-806,27 mi","284,95 mi","-22,81 mi"
"18/09/2025","276,36 mi","-449,21 mi","95,61 mi","66,84 mi","10,40 mi"
"17/09/2025","187,95 mi","175,77 mi","-261,42 mi","-66,07 mi","-36,23 mi"
"16/09/2025","1.293,44 mi","-1.390,90 mi","-59,38 mi","148,16 mi","8,68 mi"
"15/09/2025","69,87 mi","91,74 mi","40,49 mi","-234,16 mi","32,05 mi"
"12/09/2025","239,78 mi","-596,61 mi","226,11 mi","96,33 mi","34,38 mi"
"11/09/2025","869,92 mi","-5.643,18 mi","-457,85 mi","-1,48 mi","5.232,59 mi"
"10/09/2025","479,38 mi","-505,31 mi","-21,47 mi","2,32 mi","45,08 mi"
"09/09/2025","-279,85 mi","406,39 mi","-35,58 mi","-170,38 mi","79,42 mi"
"08/09/2025","312,43 mi","-399,44 mi","205,50 mi","-202,49 mi","84,00 mi"
"05/09/2025","-425,51 mi","901,05 mi","-362,23 mi","-71,20 mi","-42,11 mi"
"04/09/2025","-463,67 mi","819,57 mi","-216,99 mi","-154,96 mi","16,05 mi"
"03/09/2025","-470,69 mi","188,19 mi","298,18 mi","-40,37 mi","24,69 mi"
"02/09/2025","-182,02 mi","-8,03 mi","94,48 mi","57,21 mi","38,37 mi"
"01/09/2025","9,65 mi","-155,31 mi","59,57 mi","54,09 mi","31,99 mi"
"29/08/2025","1.466,42 mi","-1.317,49 mi","-209,57 mi","-16,24 mi","76,88 mi"
"28/08/2025","-279,17 mi","1.025,60 mi","-780,82 mi","55,21 mi","-20,82 mi"
"27/08/2025","-430,18 mi","726,31 mi","-313,74 mi","67,73 mi","-50,12 mi"
"26/08/2025","299,04 mi","-493,87 mi","76,47 mi","75,16 mi","43,18 mi"
"25/08/2025","94,61 mi","-55,04 mi","-8,16 mi","23,01 mi","-54,42 mi"
